YES,SIZE,VAL
85.9,45.2,122
65,58.5,121
74.9,52.5,81
72.5,24,74
76.6,10.5,54
62.3,50.6,51
76.9,17.4,88
80.1,28.8,124
70.7,60.9,101
87.2,21.7,60
70.7,27.1,53
85,30.9,51
70.8,31.1,50
74.1,26,64
93.2,3.1,22
90,9.9,66
62.2,79.7,92
52,47.3,101
69.5,41.1,60
88.8,22.2,53
74.3,25.7,96
91.5,16.4,34
85.6,25,83
85.5,6.5,29
65.7,22.4,38
88.6,36.6,143
91.7,2.1,6
61.5,30.3,59
86,27.3,71
89.9,83.2,131
94.7,2.2,9
93.5,5.7,13
67.4,43.7,54
85.1,19.6,40
54.5,70.8,82
81.8,40.2,70
77.2,17.7,98
73.3,49,56
85.1,35.4,58
56.6,39.1,83
88.5,2.7,21
78.8,19.5,74
60.6,23.5,54
45.5,85.6,100
86.5,11.3,21
79.2,17.9,49
79.6,11.8,28
69.4,20.1,56
73.3,31.1,46
81.7,17.6,101
70.5,29.8,96
74.4,56.9,95
85.7,27.2,60
90,56.2,98
59.6,25.6,45
63.7,12.3,76